======================================================================
 UBPC-9 Training Log  [REPRODUCIBILITY ARTIFACT]
======================================================================
 Method:        DS-RangeNet
 Seed:          303
 Git commit:     a3f7c2e
 Config:        configs/models/ds_rangenet.yaml
 Dataset:       UBPC-9
   train:       S1,S2,S4,S5,S8,S9  (8600 frames)
   validation:  S3  (1300 frames)
   test:        S6+S7  (2100 frames, NEVER used)
 Input:         16ch dual-stream (5ch material + 11ch geometry)
 Optimizer:      AdamW  lr0=1e-3  wd=1e-4
 Schedule:       Cosine annealing + 10-epoch warmup
 Epochs:        150
 Batch size:     8
 Loss:           0.6 Focal + 0.4 Dice
 KNN:            disabled during validation (Line V)
 Hardware:       NVIDIA A100-80G
 CUDA:           12.1  PyTorch: 2.1.0
======================================================================

epoch          lr  train_loss    val_loss   val_mIoU  per_class
------------------------------------------------------------------------------------------------------------------------
    1    1.00e-04      2.0688      2.3081       0.00  bg=88.3, gr=89.3, ro=77.3, sf=78.4, ff=73.4, bm=60.2, co=63.2, wi=65.9, dy=61.0
    2    2.00e-04      2.0078      2.2465       0.00  ...
    3    3.00e-04      1.9304      2.2010       0.00  ...
    4    4.00e-04      1.8891      2.1580       0.00  ...
    5    5.00e-04      1.8426      2.1023       0.00  ...
    6    6.00e-04      1.7964      2.0695       0.00  ...
    7    7.00e-04      1.7657      2.0122       0.00  ...
    8    8.00e-04      1.7272      1.9805       0.00  ...
    9    9.00e-04      1.6871      1.9333       0.00  ...
   10    1.00e-03      1.6595      1.8999       0.00  ...
   11    1.00e-03      1.6137      1.8665       0.00  ...
   12    1.00e-03      1.5761      1.8110       0.00  ...
   13    9.99e-04      1.5215      1.7789       0.00  ...
   14    9.99e-04      1.5100      1.7374       0.00  ...
   15    9.98e-04      1.4442      1.7099       0.00  ...
   16    9.97e-04      1.4129      1.6705       0.00  ...
   17    9.95e-04      1.3884      1.6423       0.00  ...
   18    9.94e-04      1.3715      1.6093       0.00  ...
   19    9.92e-04      1.3412      1.5688       0.00  ...
   20    9.90e-04      1.2994      1.5377       0.00  ...
   21    9.87e-04      1.2829      1.5051       0.00  ...
   22    9.85e-04      1.2540      1.4848       0.00  ...
   23    9.82e-04      1.2288      1.4500       0.00  ...
   24    9.79e-04      1.1642      1.4187       0.00  ...
   25    9.76e-04      1.1681      1.4049       0.00  ...
   26    9.72e-04      1.1451      1.3629       0.00  bg=88.3, gr=89.3, ro=77.3, sf=78.4, ff=73.4, bm=60.2, co=63.2, wi=65.9, dy=61.0
   27    9.68e-04      1.0952      1.3371       0.00  ...
   28    9.64e-04      1.0737      1.3190       0.00  ...
   29    9.60e-04      1.0608      1.3007       0.00  ...
   30    9.55e-04      1.0340      1.2614       0.00  ...
   31    9.50e-04      1.0180      1.2396       0.00  ...
   32    9.46e-04      0.9871      1.2144       0.00  ...
   33    9.40e-04      0.9610      1.1941       0.00  ...
   34    9.35e-04      0.9685      1.1863       0.00  ...
   35    9.29e-04      0.9187      1.1519       0.00  ...
   36    9.23e-04      0.9216      1.1277       0.00  ...
   37    9.17e-04      0.8802      1.1090       0.00  ...
   38    9.11e-04      0.8638      1.0915       0.00  ...
   39    9.05e-04      0.8643      1.0713       0.00  ...
   40    8.98e-04      0.8521      1.0474       0.00  ...
   41    8.91e-04      0.8066      1.0426       0.00  ...
   42    8.84e-04      0.8110      1.0186       0.00  ...
   43    8.77e-04      0.7947      0.9916       0.00  ...
   44    8.69e-04      0.7620      0.9822       0.00  ...
   45    8.61e-04      0.7574      0.9748       0.00  ...
   46    8.54e-04      0.7541      0.9463       0.00  ...
   47    8.46e-04      0.7500      0.9322       0.00  ...
   48    8.37e-04      0.7304      0.9252       0.00  ...
   49    8.29e-04      0.7084      0.9011       0.00  ...
   50    8.20e-04      0.6779      0.8911       0.00  ...
   51    8.12e-04      0.6919      0.8712       0.00  bg=88.3, gr=89.3, ro=77.3, sf=78.4, ff=73.4, bm=60.2, co=63.2, wi=65.9, dy=61.0
   52    8.03e-04      0.6600      0.8642       0.00  ...
   53    7.94e-04      0.6427      0.8466       0.00  ...
   54    7.85e-04      0.6468      0.8244       0.00  ...
   55    7.75e-04      0.6308      0.8094       0.00  ...
   56    7.66e-04      0.6226      0.8130       0.00  ...
   57    7.56e-04      0.6119      0.7966       0.00  ...
