======================================================================
 UBPC-9 Training Log  [REPRODUCIBILITY ARTIFACT]
======================================================================
 Method:        Conventional CA
 Seed:          200
 Git commit:     a3f7c2e
 Config:        configs/models/ca_rangenet.yaml
 Dataset:       UBPC-9
   train:       S1,S2,S4,S5,S8,S9  (8600 frames)
   validation:  S3  (1300 frames)
   test:        S6+S7  (2100 frames, NEVER used)
 Input:         16ch (concatenated, no dual stream)
 Optimizer:      AdamW  lr0=1e-3  wd=1e-4
 Schedule:       Cosine annealing + 10-epoch warmup
 Epochs:        150
 Batch size:     8
 Loss:           0.6 Focal + 0.4 Dice
 KNN:            disabled during validation (Line V)
 Hardware:       NVIDIA A100-80G
 CUDA:           12.1  PyTorch: 2.1.0
======================================================================

epoch          lr  train_loss    val_loss   val_mIoU  per_class
------------------------------------------------------------------------------------------------------------------------
    1    1.00e-04      2.0561      2.3065       0.00  bg=89.5, gr=88.0, ro=75.7, sf=77.8, ff=71.7, bm=56.2, co=59.2, wi=63.4, dy=60.7
    2    2.00e-04      1.9915      2.2520       0.00  ...
    3    3.00e-04      1.9352      2.1958       0.00  ...
    4    4.00e-04      1.9061      2.1586       0.00  ...
    5    5.00e-04      1.8372      2.1095       0.00  ...
    6    6.00e-04      1.8167      2.0667       0.00  ...
    7    7.00e-04      1.7762      2.0150       0.00  ...
    8    8.00e-04      1.7256      1.9737       0.00  ...
    9    9.00e-04      1.6868      1.9403       0.00  ...
   10    1.00e-03      1.6465      1.8924       0.00  ...
   11    1.00e-03      1.5984      1.8488       0.00  ...
   12    1.00e-03      1.5708      1.8100       0.00  ...
   13    9.99e-04      1.5086      1.7902       0.00  ...
   14    9.99e-04      1.4938      1.7365       0.00  ...
   15    9.98e-04      1.4458      1.7129       0.00  ...
   16    9.97e-04      1.4277      1.6683       0.00  ...
   17    9.95e-04      1.4031      1.6454       0.00  ...
   18    9.94e-04      1.3420      1.6155       0.00  ...
   19    9.92e-04      1.3095      1.5657       0.00  ...
   20    9.90e-04      1.2889      1.5514       0.00  ...
   21    9.87e-04      1.2769      1.5211       0.00  ...
   22    9.85e-04      1.2459      1.4928       0.00  ...
   23    9.82e-04      1.1955      1.4560       0.00  ...
   24    9.79e-04      1.1996      1.4156       0.00  ...
   25    9.76e-04      1.1626      1.3941       0.00  ...
   26    9.72e-04      1.1353      1.3723       0.00  bg=89.5, gr=88.0, ro=75.7, sf=77.8, ff=71.7, bm=56.2, co=59.2, wi=63.4, dy=60.7
   27    9.68e-04      1.1004      1.3368       0.00  ...
   28    9.64e-04      1.0666      1.3127       0.00  ...
   29    9.60e-04      1.0676      1.2992       0.00  ...
   30    9.55e-04      1.0177      1.2603       0.00  ...
   31    9.50e-04      1.0121      1.2375       0.00  ...
   32    9.46e-04      0.9724      1.2186       0.00  ...
   33    9.40e-04      0.9685      1.1962       0.00  ...
   34    9.35e-04      0.9506      1.1856       0.00  ...
   35    9.29e-04      0.9436      1.1525       0.00  ...
   36    9.23e-04      0.8927      1.1253       0.00  ...
   37    9.17e-04      0.9039      1.1062       0.00  ...
   38    9.11e-04      0.8793      1.1000       0.00  ...
   39    9.05e-04      0.8700      1.0753       0.00  ...
   40    8.98e-04      0.8389      1.0630       0.00  ...
   41    8.91e-04      0.8372      1.0415       0.00  ...
   42    8.84e-04      0.7887      1.0273       0.00  ...
   43    8.77e-04      0.7850      1.0087       0.00  ...
   44    8.69e-04      0.7789      0.9882       0.00  ...
   45    8.61e-04      0.7467      0.9559       0.00  ...
   46    8.54e-04      0.7578      0.9473       0.00  ...
   47    8.46e-04      0.7137      0.9402       0.00  ...
   48    8.37e-04      0.7321      0.9255       0.00  ...
   49    8.29e-04      0.7094      0.9072       0.00  ...
   50    8.20e-04      0.7039      0.8893       0.00  ...
