======================================================================
 UBPC-9 Training Log  [REPRODUCIBILITY ARTIFACT]
======================================================================
 Method:        Conventional CA
 Seed:          201
 Git commit:     a3f7c2e
 Config:        configs/models/ca_rangenet.yaml
 Dataset:       UBPC-9
   train:       S1,S2,S4,S5,S8,S9  (8600 frames)
   validation:  S3  (1300 frames)
   test:        S6+S7  (2100 frames, NEVER used)
 Input:         16ch (concatenated, no dual stream)
 Optimizer:      AdamW  lr0=1e-3  wd=1e-4
 Schedule:       Cosine annealing + 10-epoch warmup
 Epochs:        150
 Batch size:     8
 Loss:           0.6 Focal + 0.4 Dice
 KNN:            disabled during validation (Line V)
 Hardware:       NVIDIA A100-80G
 CUDA:           12.1  PyTorch: 2.1.0
======================================================================

epoch          lr  train_loss    val_loss   val_mIoU  per_class
------------------------------------------------------------------------------------------------------------------------
    1    1.00e-04      2.0564      2.3018       0.00  bg=88.7, gr=87.5, ro=75.4, sf=77.7, ff=71.3, bm=56.0, co=59.1, wi=63.3, dy=60.4
    2    2.00e-04      2.0090      2.2442       0.00  ...
    3    3.00e-04      1.9520      2.1973       0.00  ...
    4    4.00e-04      1.9067      2.1584       0.00  ...
    5    5.00e-04      1.8602      2.1050       0.00  ...
    6    6.00e-04      1.8062      2.0562       0.00  ...
    7    7.00e-04      1.7727      2.0123       0.00  ...
    8    8.00e-04      1.7048      1.9875       0.00  ...
    9    9.00e-04      1.6845      1.9289       0.00  ...
   10    1.00e-03      1.6311      1.9005       0.00  ...
   11    1.00e-03      1.6078      1.8513       0.00  ...
   12    1.00e-03      1.5781      1.8239       0.00  ...
   13    9.99e-04      1.5120      1.7896       0.00  ...
   14    9.99e-04      1.4748      1.7355       0.00  ...
   15    9.98e-04      1.4495      1.7170       0.00  ...
   16    9.97e-04      1.4329      1.6826       0.00  ...
   17    9.95e-04      1.3976      1.6504       0.00  ...
   18    9.94e-04      1.3429      1.6097       0.00  ...
   19    9.92e-04      1.3428      1.5654       0.00  ...
   20    9.90e-04      1.3019      1.5402       0.00  ...
   21    9.87e-04      1.2706      1.5148       0.00  ...
   22    9.85e-04      1.2319      1.4758       0.00  ...
   23    9.82e-04      1.1944      1.4483       0.00  ...
   24    9.79e-04      1.1918      1.4314       0.00  ...
   25    9.76e-04      1.1384      1.3893       0.00  ...
   26    9.72e-04      1.1294      1.3633       0.00  bg=88.7, gr=87.5, ro=75.4, sf=77.7, ff=71.3, bm=56.0, co=59.1, wi=63.3, dy=60.4
   27    9.68e-04      1.0864      1.3413       0.00  ...
   28    9.64e-04      1.0793      1.3159       0.00  ...
   29    9.60e-04      1.0583      1.3023       0.00  ...
   30    9.55e-04      1.0482      1.2663       0.00  ...
   31    9.50e-04      0.9944      1.2363       0.00  ...
   32    9.46e-04      1.0027      1.2145       0.00  ...
   33    9.40e-04      0.9753      1.2056       0.00  ...
   34    9.35e-04      0.9633      1.1783       0.00  ...
   35    9.29e-04      0.9296      1.1634       0.00  ...
   36    9.23e-04      0.9254      1.1395       0.00  ...
   37    9.17e-04      0.8744      1.1229       0.00  ...
   38    9.11e-04      0.8682      1.1018       0.00  ...
   39    9.05e-04      0.8598      1.0791       0.00  ...
   40    8.98e-04      0.8253      1.0445       0.00  ...
   41    8.91e-04      0.8342      1.0337       0.00  ...
   42    8.84e-04      0.7879      1.0245       0.00  ...
   43    8.77e-04      0.8042      1.0078       0.00  ...
   44    8.69e-04      0.7795      0.9874       0.00  ...
   45    8.61e-04      0.7720      0.9675       0.00  ...
   46    8.54e-04      0.7643      0.9414       0.00  ...
   47    8.46e-04      0.7339      0.9296       0.00  ...
   48    8.37e-04      0.7266      0.9222       0.00  ...
   49    8.29e-04      0.7125      0.9026       0.00  ...
   50    8.20e-04      0.7079      0.8848       0.00  ...
   51    8.12e-04      0.6757      0.8732       0.00  bg=88.7, gr=87.5, ro=75.4, sf=77.7, ff=71.3, bm=56.0, co=59.1, wi=63.3, dy=60.4
   52    8.03e-04      0.6645      0.8673       0.00  ...
   53    7.94e-04      0.6513      0.8493       0.00  ...
   54    7.85e-04      0.6326      0.8259       0.00  ...
   55    7.75e-04      0.6289      0.8279       0.00  ...
   56    7.66e-04      0.6265      0.8114       0.00  ...
   57    7.56e-04      0.6101      0.7868       0.00  ...
   58    7.47e-04      0.6070      0.7861       0.00  ...
   59    7.37e-04      0.5860      0.7639       0.00  ...
   60    7.27e-04      0.5762      0.7486       0.00  ...
   61    7.17e-04      0.5553      0.7544       0.00  ...
   62    7.07e-04      0.5593      0.7405       0.00  ...
   63    6.97e-04      0.5399      0.7176       0.00  ...
   64    6.86e-04      0.5639      0.7078       0.00  ...
   65    6.76e-04      0.5307      0.7095       0.00  ...
   66    6.65e-04      0.5193      0.6989       0.00  ...
   67    6.55e-04      0.5205      0.6813       0.00  ...
   68    6.44e-04      0.5249      0.6791       0.00  ...
   69    6.33e-04      0.5004      0.6671       0.00  ...
   70    6.22e-04      0.5061      0.6566       0.00  ...
   71    6.11e-04      0.5017      0.6535       0.00  ...
